id,thresh_mm,n_gt,n_true_defect,n_geom_defect,true_pct,geom_pct,tp,fp,fn,precision,recall,f1,jaccard,seam_pct,off_surface_pct
080,6.0,6144,362,293,5.891927083333334,4.768880208333334,274,19,88,0.9351535836177475,0.7569060773480663,0.8366412213740458,0.7191601049868767,0.37434895833333337,0.0
080,7.0,6144,362,257,5.891927083333334,4.182942708333334,255,2,107,0.9922178988326849,0.7044198895027625,0.8239095315024233,0.7005494505494505,0.37434895833333337,0.0
080,8.0,6144,362,241,5.891927083333334,3.9225260416666665,241,0,121,1.0,0.6657458563535912,0.7993366500829188,0.6657458563535912,0.37434895833333337,0.0
010,3.0,6144,426,2951,6.93359375,48.03059895833333,408,2543,18,0.13825821755337173,0.9577464788732394,0.2416345869114599,0.13742000673627483,0.341796875,0.0
010,3.5,6144,426,1978,6.93359375,32.19401041666667,398,1580,28,0.2012133468149646,0.9342723004694836,0.33111480865224624,0.1984047856430708,0.341796875,0.0
010,4.0,6144,426,1196,6.93359375,19.466145833333336,393,803,33,0.3285953177257525,0.9225352112676056,0.4845869297163995,0.3197721724979658,0.341796875,0.0
010,4.5,6144,426,720,6.93359375,11.71875,372,348,54,0.5166666666666667,0.8732394366197183,0.6492146596858639,0.4806201550387597,0.341796875,0.0
010,5.0,6144,426,483,6.93359375,7.861328125,356,127,70,0.7370600414078675,0.8356807511737089,0.7832783278327832,0.64376130198915,0.341796875,0.0
010,5.5,6144,426,384,6.93359375,6.25,344,40,82,0.8958333333333334,0.8075117370892019,0.8493827160493828,0.7381974248927039,0.341796875,0.0
010,6.0,6144,426,339,6.93359375,5.517578125,331,8,95,0.976401179941003,0.7769953051643192,0.865359477124183,0.7626728110599078,0.341796875,0.0
010,7.0,6144,426,313,6.93359375,5.094401041666666,313,0,113,1.0,0.7347417840375586,0.8470906630581868,0.7347417840375586,0.341796875,0.0
010,8.0,6144,426,295,6.93359375,4.801432291666666,295,0,131,1.0,0.6924882629107981,0.8183079056865465,0.6924882629107981,0.341796875,0.0
000,3.0,6144,338,2198,5.501302083333334,35.77473958333333,317,1881,21,0.14422202001819837,0.9378698224852071,0.25,0.14285714285714285,0.390625,0.0
000,3.5,6144,338,1332,5.501302083333334,21.6796875,305,1027,33,0.22897897897897898,0.9023668639053254,0.3652694610778443,0.22344322344322345,0.390625,0.0
000,4.0,6144,338,720,5.501302083333334,11.71875,296,424,42,0.4111111111111111,0.8757396449704142,0.5595463137996219,0.3884514435695538,0.390625,0.0
000,4.5,6144,338,436,5.501302083333334,7.096354166666667,283,153,55,0.6490825688073395,0.8372781065088757,0.731266149870801,0.5763747454175153,0.390625,0.0
000,5.0,6144,338,312,5.501302083333334,5.078125,270,42,68,0.8653846153846154,0.7988165680473372,0.8307692307692308,0.7105263157894737,0.390625,0.0
000,5.5,6144,338,262,5.501302083333334,4.264322916666666,259,3,79,0.9885496183206107,0.7662721893491125,0.8633333333333333,0.7595307917888563,0.390625,0.0
000,6.0,6144,338,254,5.501302083333334,4.134114583333334,252,2,86,0.9921259842519685,0.7455621301775148,0.8513513513513514,0.7411764705882353,0.390625,0.0
000,7.0,6144,338,229,5.501302083333334,3.7272135416666665,229,0,109,1.0,0.6775147928994083,0.8077601410934745,0.6775147928994083,0.390625,0.0
000,8.0,6144,338,208,5.501302083333334,3.3854166666666665,208,0,130,1.0,0.6153846153846154,0.761904761904762,0.6153846153846154,0.390625,0.0
018,3.0,6144,409,2788,6.656901041666667,45.37760416666667,383,2405,26,0.1373744619799139,0.9364303178484108,0.23959962464810755,0.13610518834399432,0.32552083333333337,0.0
018,3.5,6144,409,1854,6.656901041666667,30.17578125,375,1479,34,0.2022653721682848,0.9168704156479217,0.3314184710561202,0.1986228813559322,0.32552083333333337,0.0
018,4.0,6144,409,1108,6.656901041666667,18.033854166666664,364,744,45,0.3285198555956679,0.8899755501222494,0.4798945286750164,0.31569817866435385,0.32552083333333337,0.0
018,4.5,6144,409,649,6.656901041666667,10.563151041666668,350,299,59,0.539291217257319,0.8557457212713936,0.6616257088846881,0.4943502824858757,0.32552083333333337,0.0
018,5.0,6144,409,430,6.656901041666667,6.998697916666667,335,95,74,0.7790697674418605,0.8190709046454768,0.798569725864124,0.6646825396825397,0.32552083333333337,0.0
018,5.5,6144,409,359,6.656901041666667,5.843098958333334,324,35,85,0.9025069637883009,0.7921760391198044,0.84375,0.7297297297297297,0.32552083333333337,0.0
018,6.0,6144,409,323,6.656901041666667,5.257161458333334,316,7,93,0.978328173374613,0.7726161369193154,0.8633879781420765,0.7596153846153846,0.32552083333333337,0.0
018,7.0,6144,409,290,6.656901041666667,4.720052083333334,290,0,119,1.0,0.7090464547677262,0.8297567954220315,0.7090464547677262,0.32552083333333337,0.0
018,8.0,6144,409,274,6.656901041666667,4.459635416666666,274,0,135,1.0,0.6699266503667481,0.802342606149341,0.6699266503667481,0.32552083333333337,0.0
