run,id,definition,defect_gt_%,defect_cov_mm,defect_HD95_mm,defect_n_pred,defect_prec_mm,defect_F1@0.05
tie_qk_r2,044,6mm,5.289713541666666,3.2568290352806715,5.038014498064672,391,3.2653567580226754,0.9853456743784889
tie_qk_r2,044,implant,6.54296875,3.2166842138470324,4.960858920664144,399,3.139283690353855,0.9924812030075187
tie_qk_r2,039,5mm,4.98046875,3.212285959918779,4.643918175230285,270,3.049788022507825,0.9401838121717638
tie_qk_r2,039,6mm,4.475911458333334,3.208787418313108,4.624691141363776,290,3.4226827166371065,0.8629776210692955
tie_qk_r2,039,implant,6.087239583333334,3.2084002905474858,4.59314646360727,309,3.1172673070608186,0.94370405675423
tie_qk_r2,022,5mm,6.201171875,3.8425028512667754,5.382852226064432,384,3.3733434835056895,0.9128771369073563
tie_qk_r2,022,6mm,5.17578125,3.9835194244518,5.425134526264618,317,3.931365082849823,0.8232849735315905
tie_qk_r2,022,implant,6.73828125,3.919620043700608,5.350171104642994,353,3.6109587045560256,0.9174753495626985
tie_qk_r2,080,5mm,7.747395833333333,3.4417298184425222,6.67794306952236,604,2.981581582129193,0.9549945115257958
tie_qk_r2,080,6mm,4.768880208333334,2.992890807591215,4.698101481201681,363,2.9861900897324345,0.9886789940898738
tie_qk_r2,080,implant,5.891927083333334,2.900526398296611,4.603487448336043,383,2.913207873737718,1.0
tie_qk_r2,010,5mm,7.861328125,3.3331805758556157,4.727694611794362,588,3.0137926868773097,0.9947970863683663
tie_qk_r2,010,6mm,5.517578125,3.404126402744533,4.7217443456948835,364,3.2590504712950246,0.9972451790633609
tie_qk_r2,010,implant,6.93359375,3.3197681194930357,4.720985355750517,390,3.155348193490286,1.0
tie_qk_r2,000,5mm,5.078125,2.7126504685128148,4.024520432790087,383,2.6400006066832775,0.9938744837515946
tie_qk_r2,000,6mm,4.134114583333334,2.6919010754559896,3.9298124507129315,279,2.6990230212339803,0.9926434526728789
tie_qk_r2,000,implant,5.501302083333334,2.726764858766913,3.9525331433602773,327,2.664708000039729,0.9970326409495549
tie_qk_r2,018,5mm,6.998697916666667,3.307969271794919,5.005731902218099,508,2.9726409757518444,0.988235294117647
tie_qk_r2,018,6mm,5.257161458333334,3.2746442375625646,4.909400022545325,349,3.218134428769539,0.9809338222328723
tie_qk_r2,018,implant,6.656901041666667,3.327439351588615,4.95415080313522,363,3.0972851369991994,0.995085995085995
tie_qk_r2,030,5mm,7.503255208333333,3.1639243205157617,4.755543768696005,515,2.886205789407456,0.9945474372955289
tie_qk_r2,030,6mm,5.908203125,3.1986365129085956,4.766265969018178,368,3.0912626679201636,0.9890635524911637
tie_qk_r2,030,implant,7.486979166666667,3.1565674997707958,4.73665623369717,413,2.9822745952608805,0.9978213507625272
tie_qk_r2,073,5mm,6.022135416666666,4.05155684426886,6.1292865433461285,384,3.3164906376045007,0.8743807024914587
