run,id,n_dense,dense_spacing_mm,gt_p2s_max_mm,p2s_abs_median_mm,p2s_abs_p95_mm,p2s_bias_mm,p2s_std_mm,p2s_outside_pct,p2s_defect_abs_median_mm,n_pred_defect,s2p_mean_mm,s2p_hd95_mm,s2p_floor_mean_mm,s2p_floor_hd95_mm,s2p_defect_mean_mm,s2p_defect_hd95_mm,s2p_floor_defect_mean_mm,defect_pct_of_surface,dev_abs_median_mm,dev_abs_p95_mm,dev_bias_mm,dev_std_mm,dev_outside_pct
cd_rep05_full_f1,069,200000,1.0524803946406724,6.863076095107772e-06,1.1674663903727174,3.6003295412143475,-0.3653596166488261,1.8619529255919764,44.140625,1.5854974907169974,377,2.838648754949111,4.685422816121704,2.239450057014965,3.808244954135508,3.169776554683768,4.99541345400136,2.2053632780048105,6.3655,2.1383810951610176,5.415860725492907,0.0070130178254634,2.989682897259518,49.755859375
cd_rep05_full_f1,015,200000,1.0449763261800784,6.9652473528307865e-06,1.6726303597021457,4.1789736480577,0.4852149940307771,2.223779621999174,59.505208333333336,0.8695038944872555,374,3.463016455971041,6.345107230691057,2.305730137756356,3.9710098972204793,2.809509202809135,4.404491666161236,2.323858840260032,6.066,1.4807958658515497,4.535595862294529,0.0974405532938525,2.3038694108928444,52.425130208333336
cd_rep05_full_f1,040,200000,0.9688289937086678,6.075952112397047e-06,1.3742508742807664,6.233007942106121,-0.7813197496390275,2.5674008992691104,45.654296875,1.4352992631864576,376,3.325572630723603,7.179800231882355,2.110244444600427,3.621565442300749,2.869127542839676,4.346265232995365,2.1302381710024654,6.2765,1.725638671405363,7.260902925588439,-0.2753451143633764,3.264578475572576,47.16796875
cd_rep05_full_f1,096,200000,1.1010811611204714,6.917927454933792e-06,1.1666101822094437,3.844939608803836,-0.2311500761500075,1.8886659045725045,50.716145833333336,0.7055496820467676,276,2.9760135259675504,5.097192640299364,2.333065266652214,3.959581639372277,2.6721633826910307,4.17658266904826,2.3326006704920363,4.4725,1.7217891956614344,5.258489915133103,-0.1752238892640215,2.65244311465907,48.40494791666667
cd_rep05_full_f2,049,200000,1.070771748607065,6.060405719505301e-06,1.2568824942697492,4.459775991793904,0.4383354213370971,2.13313600686832,57.24283854166666,0.9269417117450492,368,3.111935302188694,5.490819790080561,2.299358839175909,3.939945420267527,2.8037825810879093,4.308874299841456,2.321905914666616,5.8085,1.8462222477744656,4.606487289120353,-0.0318325465383628,2.6204414500489706,50.45572916666666
cd_rep05_full_f2,034,200000,1.1732797246892246,7.171470348251468e-06,1.167964958071943,3.66519219164676,-0.4287989510332898,1.8544455349828444,45.18229166666667,1.2413723308057618,430,3.2519434703902355,5.8814133848400285,2.4533467612500104,4.149569063604774,2.83456401724058,4.352746276670163,2.4557763469548792,5.2525,2.2247274971688515,5.175427420784461,-0.034229486447085,2.875099806624792,50.048828125
cd_rep05_full_f2,007,200000,1.0841987471903685,6.010599250316773e-06,1.3107148228372911,4.452869226346711,0.6544521302800795,2.10479773132622,63.850911458333336,1.3118943804572394,426,3.1600956956900474,5.867274857361702,2.281358603909325,3.884773483773994,2.8152065536919344,4.482997226636966,2.280552078557016,5.510000000000001,1.5586184558607794,4.209252947516108,-0.0307112896053193,2.252818428701309,50.081380208333336
cd_rep05_full_f2,095,200000,1.1533685551948267,6.41672454548825e-06,1.166322800925228,3.966432172693602,-0.1321871323729168,2.0691209778097224,51.953125,1.1625261630937795,354,3.239124222644613,5.963629243253614,2.422455632063307,4.096200421633332,2.837771607763289,4.433303608439835,2.500458265528112,4.9415,2.075032079485477,5.352058519914822,-0.1239289980287416,2.9421547956363976,47.94921875
cd_rep05_full_f2,027,200000,1.1340635947021722,7.076256076743448e-06,1.2220303189443031,3.9666035252253846,-0.3445186016462618,1.9634397209766137,47.03776041666667,2.286712274838723,297,3.053327107270918,4.977039809992648,2.407735671686358,4.091325443831195,3.727690702127166,5.274356074523129,2.4722376682794063,5.772,2.129701652219862,5.657642898733507,0.0292534085377922,2.9521469533068734,51.204427083333336
cd_rep05_full_f2,019,200000,1.2041355839039252,7.263871395871171e-06,1.4648230934096609,4.370356508866209,0.6891326103130234,2.140719812233115,66.17838541666666,1.5613630138952854,336,3.712159195606597,7.082970603182888,2.5699907358667886,4.373845141773499,3.352114970454425,5.150710460299105,2.610085142930098,5.022,1.69922868864439,4.525402839630314,-0.0595346770707478,2.3930982984110685,50.227864583333336
cd_rep05_full_f2,081,200000,1.0343794610554748,6.3923226930266754e-06,1.777764084217834,5.580819610605426,-0.854803865949029,2.7893565810932954,41.943359375,2.655225388342854,383,3.7680290845646702,7.442645280712498,2.188464507342285,3.6794770198104936,4.163863433846208,6.6410333949961,2.2017137056284413,6.801500000000001,1.870600486540528,5.971867690542688,-0.1558335022342482,3.143775901847777,46.77734375
cd_rep05_full_f2,025,200000,0.9926524783800988,6.410559137748351e-06,1.9173980740421293,5.125770688552354,-0.541689449533637,2.6278862201252298,46.71223958333333,1.8640270515168784,355,3.292853175039349,5.531545152006004,2.170662086604692,3.730761916777875,3.312230086783221,4.939619208539292,2.135742921136476,6.653499999999999,2.180458796088369,7.147552467350796,0.0607978725885756,3.702705809409153,50.634765625
cd_rep05_full_f3,056,200000,0.9802636291307464,6.397103190659728e-06,1.4879421036082228,4.686975965248643,-0.0554599745047491,2.4448736819032044,55.126953125,1.7389447930353894,335,3.2922271782453025,6.479757959341575,2.120875147003234,3.641507537631776,3.1677178357153166,4.865662041773223,2.1207291971573734,5.6215,1.5102815789858397,5.361290173584164,0.0023879062181625,2.644705569496355,48.388671875
cd_rep05_full_f3,099,200000,1.13285578075753,7.547949084459152e-06,1.6057732401287836,4.972363268126713,-0.5659812423622079,2.524602526135029,44.54752604166667,2.780433153743956,309,3.420932951588429,5.947103484760794,2.4067857984910144,4.09208338374978,4.140791470708786,5.980751437252921,2.5111590417796275,5.8595,2.238167858572333,6.863882695687509,0.0427189022639084,3.573992527599498,50.520833333333336
cd_rep05_full_f3,054,200000,1.144536637926049,7.785310562700574e-06,2.329874238721114,6.698276954431546,-0.9067527627824784,3.3401294406810123,43.83138020833333,2.995228035550084,289,4.564837943846461,9.899488545419894,2.47326737473668,4.228090098885536,4.496921004473222,6.413384794694522,2.473356972060318,6.494999999999999,2.392496213600497,7.507262209961054,0.0144758179565797,3.920421372683108,49.90234375
cd_rep05_full_f3,043,200000,0.9935548903385392,6.6232874269560974e-06,0.9486331395092736,3.1944245824560067,-0.0867249704931323,1.6405392615254295,50.60221354166666,0.6173434560488489,441,2.731456478084724,4.500508488188359,2.16530078665935,3.699930766746743,2.370500040043718,3.71604318644776,2.17949522340005,6.7155000000000005,1.99982802335264,4.584251597610626,-0.0849630334240903,2.586240470269995,49.54427083333333
cd_rep05_full_f3,050,200000,1.1252228816114989,8.096264383583668e-06,1.2708189488734876,3.9992156995987207,-0.4747747006918867,1.9556269238343085,43.66861979166667,1.945871171863692,388,3.1017276871632826,5.170984419290694,2.368794472385398,4.014667378802505,3.425834249010874,5.085132565222352,2.359684268646784,6.3275,2.074863457095821,5.4157633806964895,-0.3411810147159129,2.865897089825821,46.533203125
cd_rep05_full_f3,067,200000,1.0681002460041993,7.803002975847304e-06,1.0646500869564226,3.1408794791831,-0.2259781161198737,1.5855828771899332,46.17513020833333,0.7891090119406747,365,2.823354765843231,4.659382682924848,2.288133484619042,3.9117393135240985,2.5446179865357488,3.915987640082178,2.3390915514831865,5.45,2.166097355111056,4.457522019068169,-0.1026598661388638,2.605506459359795,49.25130208333333
